Code,Tweet
Neither,@therealroseanne Promises promises
Neither,canceled
Anti-Roseanne,Hi @therealroseanne if you need a network to pick up your show
Neither,Disney
Anti-Roseanne,@KTLA                          sucks to be Roseanne
Neither,https://t.co/c4O4PO8gxK
Anti-Roseanne,https://t.co/OSoQJtCBq0 just came for Roseanne Barr and her racist comments https://t.co/FuMwSeKwxs
Anti-Roseanne,@ChelseaClinton @OpenSociety                            You
Anti-Roseanne,@boblutz watched it once
Neither,ABC Entertainment has announced that Roseanne has been canceled after she went on a racist rant on Twitter. Racism... https://t.co/dswCRZHgPJ
Anti-Roseanne,@therealroseanne Bye           You won't be missed
Neither,After Racist Tweet by Roseanne Barr
Neither,@JakeSherman @therealroseanne She looks in the mirror
Anti-Roseanne,Who could've seen the Roseanne racist crash and burn coming?  I mean
Anti-Roseanne,Condolences to Roseanne. It couldn't have happened to nicer unfunny bigot.
Neither,Democrat
Anti-Roseanne,@therealroseanne Hey
Neither,Roseanne cancelled https://t.co/KbyIvquWLF
Anti-Roseanne,@Atrios 'Suck On This' starring Roseanne and Tome Friedman!
Neither,Trump
Anti-Roseanne,Roseanne Barr is an embarrassment to women everywhere.
Pro-Roseanne,@JTMYVA @therealroseanne They were just waiting for her to do or say something so they could all pounce like wild d... https://t.co/aPN7s8OC54
Anti-Roseanne,Thank You @ABCNetwork for canceling the racist Roseanne's show.   Too bad Congress doesn't have the integrity that ABC has
Anti-Roseanne,Well
Pro-Roseanne,@therealroseanne Don't quit Rosanne! Youre awesome! Everyone makes mistakes. Own it and move on! ABC is a has been... https://t.co/2QsG1Udhj7
Anti-Roseanne,Maybe the Christian Broadcast Network can pick up Roseanne for a couple of seasons
Neither,@lucindajonesV01 @therealroseanne @ChelseaClinton @OpenSociety Correct how? the fact is date of birth and his age a... https://t.co/U0ic9b6U49
Anti-Roseanne,@TheRitaMoreno @therealroseanne I suppose you didn't laugh when that sorry excuse for a 'comedienne' made her comme... https://t.co/5SLMuDEMV9
Anti-Roseanne,In light of Roseanne being (rightly) cancelled... https://t.co/oUyY7gcvqq
Neither,nachrichten
Anti-Roseanne,@thehill Goodbye Roseanne
Pro-Roseanne,Same drooling leftists who championed free speech for @kathygriffin holding a bloody head representing Trump are ag... https://t.co/ZmkocE2AJF
Anti-Roseanne,Roseannes mistake was in thinking she could get away with her racism as a follower of Trump. Trump will find his ru... https://t.co/MXFYf2XYbt
Neither,moron
Neither,Roseanne Barr's Show Cancelled After Racist Slur Against Obama Adviser Valerie  Jarrett https://t.co/LHeV8G2Czo https://t.co/504AgRSHKS
Neither,ABC wanted the reboot of Roseanne to be the new All On The Family... https://t.co/URGUwnjHYt
Neither,sitcom
Neither,BADBOA
Anti-Roseanne,@Chachi51598598 @therealroseanne Bahhaaaaaa
Anti-Roseanne,If you found @michelleisawolf Offensive but you think Roseanne's racism is cool and just a joke. You are a threat t... https://t.co/CvYTADhQ7n
Neither,NEWS:  Roseanne Barr's TV show cancelled after Twitter race row https://t.co/ENVVRhpoga
Neither,@MsReginaFilangi @CocaCola @therealroseanne @pepsi @SamsungUS @Google @CarlsJr @AshleyHomeStore @AshleyHomeHelp... https://t.co/q9603Z4PCj
Neither,@JTMYVA @therealroseanne Abdulrahman Mohamed El-Sayed is an American physician
Neither,@ChuckNASCAR @JustSheree2000 @larryhouse @MARS0411 @thegr8juan_2 @therealroseanne @385parkplace @SGTreport... https://t.co/RiwN4dPSOl
Neither,@900Max @pnf_phytrade @Scaramucci Not true. Just ask @therealroseanne
Neither,Valerie Jarrett provided keynote address @ *Hamas-Muslim Brotherhood-Islamic Society of North America (ISNA)* conve... https://t.co/aN93oK6fGh
Neither,ice
Neither,@Omerta1916 @MarkDice @iamwandasykes @therealroseanne Haha!  :D
Anti-Roseanne,@therealroseanne No apology can make up for saying something that abhorrent.
Neither,@superbrad06 @LisaMei62 @therealroseanne @espn Doesnt ABC own ESPN?
Neither,@soonerrick @Lani6400 @therealroseanne Troll
Neither,@LadyBabs07 @therealroseanne @ABC .......it did. https://t.co/DahGwROjYs
Neither,@SophieNLucy @therealroseanne @SaRaAshcraft @MustangGirl3 @Pinkamom that's a divisive comment
Neither,yikes
Neither,The cancellation of Roseanne is not censorship. It's capitalism.
Anti-Roseanne,@dodgerpam The difference is that Colin was bringing awareness to racism
Anti-Roseanne,@therealroseanne Take your apology and shove it up your racist ass
Pro-Roseanne,@therealroseanne I know you really didn't mean it Roseanne- this Hate is contagious on both sides and needs to stop.
Anti-Roseanne,Nice going
Pro-Roseanne,I CAN'T BELIEVE @ABC is cancelling @RoseanneOnABC because of @therealroseanne tweets. So what! Tbh
Neither,@ClayTravis @KeithOlbermann @realDonaldTrump @espn @therealroseanne  https://t.co/YJHNGeg7u1
Neither,@SinisterEZ @marthamaccallum @therealroseanne @RealCandaceO I suppose u missed the part where Wolf joked about abor... https://t.co/X8BqI5AVEw
Neither,It's all well and good that @RoseanneOnABC has been canceled
Anti-Roseanne,Justice!!! ABC Cancels 'Roseanne' After Star's Racist Tweet https://t.co/mpIMWsD8TT
Neither,@MVPCouple @JackiSchechner @kathygriffin @therealroseanne @kathygriffin was using art to point out the horrid remar... https://t.co/UswEsjN23N
Neither,I'm really not ready for a society fractured over Roseanne.
Pro-Roseanne,@marleeyoungkin @therealroseanne Bye by ABC
Neither,@heatherkarwacki @luvinmyukcats @therealroseanne
Anti-Roseanne,@GnarlyMcAwesome @therealroseanne @IWillRedPillU And you are an ignorant deplorable just like her. Awesome my ass
Neither,RenewTimeless
Neither,@therealroseanne  https://t.co/Sz0vPdCf3g
Pro-Roseanne,.@ValerieJarrett I stand by @therealroseanne https://t.co/nO33lh9ce1
Neither,ABC cancels Roseanne reboot after star's 'bad joke' about Obama aide https://t.co/sM3mazNY9m
Neither,@Larsofhaus1 @LisaMei62 @therealroseanne There was plenty of outrage.  Selective memory.
Anti-Roseanne,I wonder how @therealroseanne feels about so many people losing their jobs because she can't stay off the Twitter m... https://t.co/BPQuupNqGK
Pro-Roseanne,BoycottABC
Pro-Roseanne,@RoseanneOnABC I support @therealroseanne
Anti-Roseanne,I see Roseanne just fucked up a lot of people's vacation
Neither,@therealroseanne  https://t.co/xK68pA83gW
Anti-Roseanne,@therealroseanne You will be back.  You can't help yourself.  You owe everyone working on your now CANCELLED show a... https://t.co/Zi1ZJDzhyE
Pro-Roseanne,@TheRealHublife So they canceled Roseanne yet they keep scum like Jimmy Kimmel and promote him all over their network.
Anti-Roseanne,@therealroseanne sit down little bitch.
Neither,magaTs
Neither,@ms_anonymous_d @therealroseanne Wow that went over my head lmaoo
Anti-Roseanne,@Monica1236 @RoseanneOnABC @therealroseanne Ok totally missed her tweet ..which sounds like a good thing ...but well done Abc
Neither,@krassenstein @jemelehill @realDonaldTrump https://t.co/rbC7XZYfib
Neither,saragilbert
Pro-Roseanne,Were Roseanne not a supporter of  President she would still have the show on ABC. Media alone has said worse about Trump.
Neither,saragilbert
Anti-Roseanne,I'm glad they canceled Roseanne I never liked her she's a piece of shit excuse for a human
Pro-Roseanne,@therealroseanne Don't leave.  We need more people like you.
Neither,TheMiddle
Neither,@NerdyGirlsRulz @DonnaDo89792101 @1charlieprince @puffballsgirl @therealroseanne Harvard Grad ha
Anti-Roseanne,Don't let the door hit you in your racist ass on the way out
Neither,VIDEO - Greg Gutfeld on Roseanne: Twitter Creates Potential for You To Be an Idiot https://t.co/K2Q4Sv0xrP
Anti-Roseanne,@therealroseanne If you were truly sorry you would have never said it.  You apologized for the sake of your job.  T... https://t.co/wQJR2o8O6z
Pro-Roseanne,THE LEFTY ABC NETWORK FINALLY FOUND AN ALIBI TO CANCEL THE ULTRA-SUCCESFULL ROSEANNE BARR SHOW
Anti-Roseanne,I want Roseanne without Roseanne. But with Dan and everyone else. Can we have that?
Neither,@thecjpearson @therealroseanne @HillaryClinton THANK YOU CJ
Anti-Roseanne,@therealroseanne That profile picture is ugly. Much like you.
Anti-Roseanne,Buh-bye Roseanne! The Trump train wreck claims another one!
Anti-Roseanne,@PeterSweden7 @therealroseanne No
Anti-Roseanne,@therealroseanne It wasn't a joke and it wasn't 'in bad taste'
Neither,KathyGriffin
Neither,@KayaJones @ABCNetwork @jimmykimmel @FLOTUS @therealroseanne Whataboutism...
Neither,Roseanne' cancelled.  ABC cancels 'Roseanne' after its star goes on a vitriolic and racist Twitter rampage https://t.co/qQ4cPFVzsO
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/IUcHzAmKnH via @CNNMoney GOOD! BYE!
Neither,@Tasham315Tasha @JenWeeks13 @MikeyR_05 @RobLaVigne8 @TwitterMoments @FOXTV @LastManStanding @RoseanneOnABC... https://t.co/PKmOz5RxtN
Anti-Roseanne,@ladyhawkerfinds @therealroseanne Not enough! Your cancellation is proof that progress is being made. Now
Pro-Roseanne,I am done with @ABC and @Disney Melania
Anti-Roseanne,Thanks to ABC cancellin' 'Roseanne'
Anti-Roseanne,@Mikel_Jollett I wonder how Roseanne feels about all those who lost their paychecks today because of her inexcusabl... https://t.co/qdebgmrxg0
Neither,Roseanne
Neither,Roseanne' canceled after star's controversial comments https://t.co/gU1Vnfygtw
Anti-Roseanne,@therealroseanne no one watched your show foreal.. lol smh have several seats with the nasty comments
Neither,Obama
Neither,@realDonaldTrump  @intheMatrixxx  @ROYALMRBADNEWS  @2runtherace @thebradfordfile @Wayne2069 @_The_Watchers_... https://t.co/hT8mnUkFBO
Neither,gente t   passada com esse neg  cio de roseanne aaaa abc nunca te critiquei
Anti-Roseanne,@therealroseanne Good news is you're leaving ABC also you ignorant POS
Neither,Roseanne is cancelled after her racist tweet towards Valerie Jarrett. Channing Dungey
Anti-Roseanne,@Karl32083272 @therealroseanne @DonaldJTrumpJr @ChelseaClinton @OpenSociety Oh wait off the air! Rosy needs a job
Neither,Here's a shot of Bret Stephens getting  in some lunges to better prepare for the leaps in logic he'll make in his n... https://t.co/FEbB7sYfGi
Neither,@therealroseanne Ugggg. Hate the remarks made.   Wish it hadn't led to cancellation.  Loved the show and upset yo s... https://t.co/piznF5SIoL
Pro-Roseanne,@therealroseanne @ChelseaClinton @OpenSociety I'm with you Roseanne! Normal people love and support you
Neither,mutes **roseanne. bevlove.
Pro-Roseanne,@therealroseanne Please Roseanne
Anti-Roseanne,"@therealroseanne - ""CANCELLED!""    Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-... https://t.co/jNpFlhNMjp"
Anti-Roseanne,ALONG WITH DONALD TRUMP REPUGNANT AND INCONSISTENT WITH OUR GREAT A... https://t.co/nDvakzbKXN
Neither,Roseanne
Pro-Roseanne,@therealroseanne Love you Roseanne.
Anti-Roseanne,Oh my day was made my Roseanne getting canceled which sucks bc she's the only one on that show I can't stand
Pro-Roseanne,BoycottABC
Pro-Roseanne,@ABCNetwork The only reason I watched your network was because of Roseanne. Loved and enjoyed this very much. Got u... https://t.co/fxDLhhbPYr
Anti-Roseanne,It took awhile
Neither,@andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne                                                 . Hillary --intelligence ???
Neither,@LakelPruitt @therealroseanne Bullshit
Neither,@MarkDice @therealroseanne But but but but.....
Anti-Roseanne,I'm not sure why people were tuned into fat ole Roseanne and her fat husbands show anyways
Anti-Roseanne,@JTMYVA @therealroseanne Abhorrent.  Repugnant.  Roseanne's racism and your face. https://t.co/wx2Ond64So
Anti-Roseanne,@therealroseanne When will your mouth ever stop?
Anti-Roseanne,Such a heartfelt apology that came at the impeccable time of being caught in your racist ways &amp; having everyone tur... https://t.co/M20XikkOdt
Anti-Roseanne,Thank you @ABCNetwork and @Disney for cancelling the hateful Roseanne.
Neither,Roseanne' canceled by ABC following backlash over star's racist tweets https://t.co/qfsHmyZ4QM https://t.co/QP6hts1yt5
Anti-Roseanne,@therealroseanne CANCELED!  Keep talking!
Pro-Roseanne,@therealroseanne Still hope you win with FOX - would be their gain to pick you up !
Pro-Roseanne,@THEsaragilbert Sara Gilbert would be in oblivion if not for Roseanne.
Neither,https://t.co/htvCYy0uU4
Anti-Roseanne,Now I know why my mom didn't let us watch Roseanne when we were kids!
Neither,So ABC's Brian Ross falsely and intentionally misreported costs investors millions of dollars... https://t.co/ADaY1CZbd8
Neither,@dtrj787 @therealroseanne @RoseanneOnABC @THEsaragilbert @WhitneyCummings I really enjoy they show so this is a brilliant idea!!
Anti-Roseanne,@RubinReport If you don't like someone
Anti-Roseanne,@DebraMessing @ABC Why would @therealroseanne think that that racist tweet could ever in... https://t.co/zFHX9R7pxV
Anti-Roseanne,Roseanne Barr got famous plan and Ozark hick slattern and now we realize she wasn't playing a character
Anti-Roseanne,@CNNnewsroom @VanJones68 Glad to hear of pulling the plug. People like Roseanne and Trump are in reality big bullie... https://t.co/7R0Z6dPOSY
Neither,@missmindylouwho @ChrissySami1 @therealroseanne @Caitlyn_Jenner That's precisely why she made that snap in her car.... https://t.co/slgtd96Nrd
Neither,@hankgreen @therealroseanne @RosannaPansino Celebrate*
Anti-Roseanne,@therealroseanne You were a piece of shit in the 80s and you're even worse now. No talent
Neither,@OliverMcGee @FOXTV @therealroseanne @FoxNews @POTUS @realDonaldTrump @seanhannity @HappeningNow @kanyewest Let you... https://t.co/SOoQ15xBdA
Neither,Roseanne    cancelada pela ABC ap  s coment  rio racista da atriz principal no  Twitter https://t.co/7TJKxH8DVk
Neither,ABC cancels 'Roseanne' after her tweet calling Valerie Jarrett the 'baby' of Egypt's Muslim Brotherhood political p... https://t.co/VJKUNhI8KN
Pro-Roseanne,@mugfrommichigan @ljpflash @LadyBabs07 @therealroseanne @ABC I want her to sue We need ppl to sue Certain views ten... https://t.co/vvRsuT7S1V
Pro-Roseanne,@KateAurthur BOYCOTT @ABCNetwork  and the advertisers that keep it on the air ... watch for the network that picks up @therealroseanne show
Neither,@therealroseanne  https://t.co/ym1X0gjpxM
Pro-Roseanne,lets show @ABCNetwork what we think of them canceling @Roseanne. They sure the hell didn't cancel the view after re... https://t.co/niNCeu3Hu5
Pro-Roseanne,Hey @ABCNetwork why did you cancel Rosanne over a joke that was nothing more than poor taste and a simple mistake.... https://t.co/27v3gVZagw
Neither,Retweeted Keith Boykin (@keithboykin):  Yes but there is a price to... https://t.co/WjquJ2XnRF
Pro-Roseanne,@FOXTV please pick up the cancelled Roseanne show?
Anti-Roseanne,The entire country should hold Trump to the same standard that ABC just held Roseanne to for racist tweets/policies/beliefs.
Pro-Roseanne,@T_S_P_O_O_K_Y @MarkSZaidEsq @therealroseanne @BradMossEsq Roseanne made her comments on her on time and not on her... https://t.co/SJg1b3S4qA
Anti-Roseanne,Bold move by ABC today cancelling Roseanne now we need to vote out the racist in chief.
Neither,TV ku  a ABC ukinula seriju Roseanne zbog rasisti  kih ispada glavne glumice Roseanne Barr: https://t.co/hcVRF3xVKx
Neither,ABC cancels 'Roseanne' after Barr's racist tweet  https://t.co/gqPnM4HZ8y
Anti-Roseanne,I see ABC took no time canceling that bum ass Roseanne reboot. Shit was always wack.
Anti-Roseanne,@therealroseanne You're done hon. Why even bother with an apology? We all know you meant every disgusting word. Mig... https://t.co/isVs7mCA3r
Anti-Roseanne,@therealroseanne Roseanne can now go back to Hawaii and camp out on a fissure @JackieFarnham
Anti-Roseanne,@therealroseanne Hhahahahahaha. It came back to you like a boomerang didn't it love?
Anti-Roseanne,@therealroseanne You should've been aborted.
Neither,ABC
Anti-Roseanne,@therealroseanne I used 2 think u were an open minded progressive person.  Obviously I was horribly... https://t.co/wv6JzFs9v4
Pro-Roseanne,@therealroseanne The thing is
Neither,@TC_resistance @therealroseanne actually ... she doesn't
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/wzMu2B4Seo via @CNNMoney
Neither,@ryanfeinberg407 @therealroseanne He's a Holocaust survivor who thoroughly enjoyed the Holocaust. He refers to 1944... https://t.co/29PfzEMjuG
Neither,https://t.co/KZQybGUg5N
Neither,@toddeherman @netflix @DearWhitePeople @therealroseanne I think you asking all the wrong questions
Neither,@ibrand @s_gjr80 @chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne You only prefe... https://t.co/N22LrC3p0T
Pro-Roseanne,@ABCNetwork you cancel ROSEANNE OK
Neither,Roseanne' Cancelled at ABC After Roseanne Barr's Racist Tweet https://t.co/V3TrsQHL5y @TIME
Neither,@NancyLevcovich @intheMatrixxx @therealroseanne @ChelseaClinton @POTUS I heard he was sizteen. You may say he was y... https://t.co/UjNURqxY39
Neither,@mattyglesias Everyone knows the Dow Jones is a huge Roseanne fan
Anti-Roseanne,roseanne got cancelled over her racist tweets as if her dressing up like hitler making 'jew cookies' for a photosho... https://t.co/6anvPk3g6S
Anti-Roseanne,RacistRosanne
Neither,@slothlobster @texasps @FoxNews @ABC @Roseanne Quick answer
Anti-Roseanne,@Augustus709 Good! Thank you ABC and the 70% of US CITIZENS who disapprove of actions like Roseanne's.
Neither,gobounceaball
Anti-Roseanne,"I asked my cat how long before DJT tweets to defend Roseanne's racist comments and deride ABC dropping her show. ""N... https://t.co/NGJ7WptGNW"
Neither,@Bakimmelprice How did you just lump Kanye in with roseanne?
Pro-Roseanne,@therealroseanne Suck it up Girl....F Them...Stop apologizing and let them have it with both barrels
Anti-Roseanne,Roseanne and I fell out in 2015 over her insistence than Hillary was a murderer and Obama a Muslim. These far-right... https://t.co/s0HDqiIck2
Anti-Roseanne,Let's give Hollywood credit when it's due: They're dropping rapist's and racist's shows like they're hot. Finally
Neither,@Real_PeachyKeen @RealMattCouch @therealroseanne  https://t.co/Ie4bqeLTjv
Pro-Roseanne,@THEsaragilbert YOU WOULDN'T EVEN BEEN RELEVANT IF NOT FOR ROSEANNE AND YOU WILL BE FORGOTTEN JUST AS QUICKLY!! SHA... https://t.co/60G0ekdka5
Neither,@JakeSherman @therealroseanne Liar
Anti-Roseanne,Karma
Anti-Roseanne,@therealroseanne You leaving twitter won't change your racist views.
Neither,@LisaSmith4680 @AnthemRespect @Disney @ABC @therealroseanne And if twitter don't like my post they can kick me off... https://t.co/4cZGAZRYpA
Anti-Roseanne,IgnorantRacistCow
Neither,Independent
Anti-Roseanne,Sad we're not going to see the Roseanne episode where she becomes a Flat Earther or spends the runtime abusing the... https://t.co/JTRd8c1NjN
Anti-Roseanne,Just woke up to the news that @ABCNetwork canceled @therealroseanne's show after she said crazy
Neither,PleaseExplain
Neither,.@ChelseaClinton could you correct me if I am wrong
Neither,@RealAlexJones @therealroseanne Its kinda scary people a few people in this society actually want to listen to the... https://t.co/xwPtgiBDaM
Anti-Roseanne,@therealroseanne It wasn't in bad taste even though I... https://t.co/eMX91q0CUk
Neither,Roseanne
Neither,@USAHotLips @ABC @therealroseanne @ArizonaKayte @carrieksada_ @KatTheHammer1 @kwilli1046 @DonnaWR8 @RuthieRedSox... https://t.co/hWoN4jxXrv
Neither,@scottisbell_ @therealroseanne Lol...
Neither,Welp
Anti-Roseanne,@therealroseanne And racist
Anti-Roseanne,ABC should have known better though. Roseanne Barr has been tweeting racist
Neither,ABC Pulls The Plug On 'Roseanne'...Show Cancelled! https://t.co/QU81rW9aTu
Anti-Roseanne,@RoseanneOnABC Let there be actual repercussions of racism depicted. Have cast do episode sans Roseanne; she's is i... https://t.co/nFQ52vuciR
Anti-Roseanne,Tbh the new season is cringey AF and super off-putting to watch. Roseanne is a gross human. Vapid. Wretched. She ne... https://t.co/WlhoocCkgh
Pro-Roseanne,1stAmendment
Anti-Roseanne,@ivory_lisa @AmandaNHardwic1 @therealroseanne Of course she did
Pro-Roseanne,@therealroseanne You are a comedienne does everyone have such thin skins?
Neither,@MarkSDeRosa @PaulSorrentino3 @JimJlr2 @EdKrassen @therealroseanne I think Paul has an issue admitting he is wrong.
Neither,@KevinCate @dailybriefing @DanaPerino @FoxNews @dailybriefing @BretBaier @FoxNews @ABCNetwork I didn't take... https://t.co/Egj7WFASCA
Anti-Roseanne,RacistRosanne
Neither,@Variety @therealroseanne  https://t.co/qnt5l5jOt7
Neither,@chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne And neither is our beautiful in... https://t.co/KWRgDc8JEh
Neither,@donwonyou1940 @mjfree @therealroseanne @realDonaldTrump A. He doesn't act in movies and B. even if he did
Neither,Roseanne Reboot Canceled Following Rosanne Racial Slur Tweet - Bloomberg https://t.co/dLxyZFbAlG
Pro-Roseanne,@ABC_Publicity so you cancel roseanne for something like this
Neither,@KayaJones @therealroseanne I say AMEN to that.
Neither,Can Wanda Sykes collect unemployment from the Roseanne show even tho she quit right before they were all let go?
Pro-Roseanne,@therealroseanne There's nothing to forgive! You're a comedian
Neither,@soonerrick @DeannaSader @DarbaDee @Lani6400 @therealroseanne Just Rick 'Just Racist.'
Pro-Roseanne,@therealroseanne Reading thru these vile &amp; hateful comments being spewed by liberal unhinged radicals towards Rosea... https://t.co/Aj9OHStXi9
Anti-Roseanne,@mjfree @therealroseanne My      does go out to the rest of the cast but surely they saw this coming! Glad ABC FINALLY did the right thing!
Anti-Roseanne,Since Roseanne has been rightfully shitcanned
Neither,@ALT_DOJ @therealroseanne @RoseanneOnABC Let me guess... https://t.co/xFHAS5T2sN
Anti-Roseanne,Roseann Barr was racist on Twitter. What a surprise. ABC has cancelled her show. https://t.co/r5wQFNbBmS
Neither,@therealroseanne  https://t.co/UVIDvkZaTs
Neither,rosieodonnell
Neither,@SnoopaDo @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne          the one she's mastered
Anti-Roseanne,What I'm thinking ab out is how vile Roseanne must be in real life.  No way she isn't disgusting to her domes... https://t.co/veA9rMXUJR
Neither,crown
Pro-Roseanne,Correction: Roseanne has been cancelled due to butthurt liberals being easily offended. https://t.co/FlfLzdpLCb
Anti-Roseanne,Yes
Neither,@etnow @ABCNetwork OK I understand canceling the Roseanne show but why has @TheView remained on the air. Seems like a double standard.
Anti-Roseanne,@therealroseanne Bye bye fraud..I told you you weren't going to make another season..
Pro-Roseanne,@ABC Was looking for a reason to pull the plug on @therealroseanne!   It was FAR TOO POPULAR with conservatives
Anti-Roseanne,BYE TRASH!!       @therealroseanne
Neither,Roseanne' Canceled by ABC Hours After Racist Tweet by Roseanne Barr - New York Times https://t.co/WOpBCKe2zW https://t.co/HK5WMZfQod
Anti-Roseanne,I was probably the only one who didn't care Roseanne was being rebooted. I didn't like the show then and I sure as... https://t.co/AaUlCv3aR7
Neither,Hollywood Reacts to Roseanne Barr's Valerie Jarrett Tweet: 'Millions Are Traumatized' https://t.co/CYFQCWmPud https://t.co/j2trCdWw6s
Anti-Roseanne,With dat bein said fxck Roseanne Barr and anybody who loves her. I'm puttin up my middle finger. Makes me sick.
Neither,@DenistheM @TheRealHublife @therealroseanne  https://t.co/DZKdB5uUpt
Anti-Roseanne,My favorite part of the Roseanne show was when it got cancelled.
Anti-Roseanne,Wipe the ku klux klown trickle down off your chin @therealroseanne
Pro-Roseanne,I say no apology necessary @therealroseanne  to @ValerieJarrett. Where is the U.S. citizens apology from O being a... https://t.co/YiExRmaB0C
Neither,ABC
Neither,@therealroseanne Chelsea was on my conversation. Spygate? Trump word. I love him.
Neither,@therealroseanne  https://t.co/oaV0BAjAtV
Neither,ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet https://t.co/SUbeJqWh5m via @usatoday. Clea... https://t.co/P89iw0VVVh
Neither,DIS
Anti-Roseanne,@chick_in_kiev @therealroseanne @oliverdarcy It's exactly the same as when other racists call @realDonaldTrump an O... https://t.co/opxRFRHA9d
Neither,@therealroseanne What did she say?
Neither,@filmystic @therealroseanne Im pretty sure she's still get paid as a creator of the show and characters if they did.
Anti-Roseanne,@buddy_hell Well she was on a properigotted roll....until just now when she got fired for her racist bastardry..  A... https://t.co/rGzTi8ZaNB
Anti-Roseanne,@1charlieprince @therealroseanne You are canceled                      learn to respect others
Pro-Roseanne,Roseanne show cancelled...the left wanted to cancel that show from the start because it was not leftie enough now t... https://t.co/FspknNNKtc
Neither,@bikeguy13 @RF_P0TUS @therealroseanne @ABC @ABCNetwork @WaltDisneyCo Holy crap
Neither,@therealroseanne  https://t.co/6egJRHeG7j
Pro-Roseanne,why cancel a show over one little comment lmao. she apologized??? poor @therealroseanne
Pro-Roseanne,@Taj_Manian_LOL @SeanLethcoe @therealroseanne What does that have to do with her Job? Personal speech should not af... https://t.co/88Kdpx2mnw
Pro-Roseanne,@therealroseanne @ABCNetwork is so pathetic!!
Anti-Roseanne,@therealroseanne lolololol. Bye bye
Pro-Roseanne,@ABCNetwork OH
Neither,Roseanne' Canceled By ABC https://t.co/QIQLkLN2MS
Anti-Roseanne,This is great news.  Look they canceled Roseanne! https://t.co/zUvUX35csA
Pro-Roseanne,IF MOSLEM BROTHERHOOD &amp; PLANET OF THE APES HAD A BABY =VJ RETWEET IF YOU HAVE THE GUTS AND STAND UP FOR FREESPEECH... https://t.co/381M4n5XA6
Anti-Roseanne,@KayaJones @therealroseanne Roseanne should have known better to go that far. I don't blame ABC one bit. The Left a... https://t.co/zTQWpvhP9X
Neither,What did Roseanne say?
Pro-Roseanne,So they remove RoseAnne? What about the late night supposed comedians? They offend every night. Yet are praised?
Neither,Group Identity advocates will group @therealroseanne watchers with what she said... Wrong! Her words don't reflect... https://t.co/PA3yvVYwbx
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,@aaarocket27 @MARS0411 @therealroseanne @385parkplace @SGTreport @ValerieJarrett You're reeeeeaaaalllllyyyy stupid.
Anti-Roseanne,Welcome to 2018 where MAGA is more upset about a fictional family on TV being broken up than real fami... https://t.co/Lkd4rSafSN
Neither,@DB_Coupe @msue1000 @Gavin_McInnes @therealroseanne Lol have you ever lived in America? Studied history? Comparison... https://t.co/DIwdS5Lryj
Anti-Roseanne,@BenRothenberg Not a great day for the Alt Right Roseanne's show cancelled and Sandgren getting beat. No Tiki Torch... https://t.co/6WMGL7p5zj
Neither,@ceceyy @KayaJones @therealroseanne Here's some logic
Neither,@1Romans58 @VP @therealroseanne No sir.  You have it all wrong.  You seem to be missing some of the details here.
Anti-Roseanne,@therealroseanne I am so happy to see that your show has been cancelled.  Couldn't have happened to a nicer racist.
Neither,ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet https://t.co/AkBRBDNNcN
Pro-Roseanne,StandWithRoseanne
Pro-Roseanne,@marthamaccallum @therealroseanne @RealCandaceO I think it's terrible Roseanne is being canceled. What about all th... https://t.co/okDVwjoiWv
Anti-Roseanne,@krassenstein @jemelehill @realDonaldTrump Roseanne Barr is a pig https://t.co/bkeJJ1zXax
Pro-Roseanne,@LisaMei62 @therealroseanne I am done with ABC.
Neither,@CoralSeason8 @sonicfind2 @therealroseanne Prove that I don't care if they kneel or stand?   Ok.  I don't care if N... https://t.co/hKQhYCpwHD
Anti-Roseanne,I'm happy to let y'all know that Roseanne is canceled.  She's cancelled
Anti-Roseanne,@chilibowlcheryl @SueGlashauser It's not like associating with the toxic personality of Roseanne Barr has exactly h... https://t.co/Ja0afhmHBt
Neither,@therealroseanne Oops...      https://t.co/SqIDxfETtl
Neither,@EdKrassen @therealroseanne  https://t.co/E4LG8W4xCp
Neither,@FoxNews @therealroseanne Bill Clinton molested his ugly daughter while Hillary mcnasty watched ..but bill put to m... https://t.co/uhOicVl6ge
Pro-Roseanne,@therealroseanne Bad mistake and while I believe you sincerely regret it
Pro-Roseanne,@therealroseanne You do not have to apologize for being correct!
Neither,Dave Rubin's take on this Roseanne thing is going to be so nuclear it will likely bring on the apocalypse
Anti-Roseanne,lol Roseanne...
Pro-Roseanne,@ABC_Publicity u suck
Anti-Roseanne,Roseanne is at home yelling
